C01172 C00006 C00001  = C01236 C00005 C00080 , Reaction type 02736, deltaG =, 278.02986423 , kcal/mol
C01236 C00001  = C00345 , Reaction type 02035, deltaG =, 3.09061225 , kcal/mol
C00345  = C04442 C00001 , Reaction type 02036, deltaG =, 6.06975362 , kcal/mol
C04442  = C00118 C00022 , Reaction type 05605, deltaG =, 7.73352736 , kcal/mol
C00006 C01236  = 10 , Reaction type 0, deltaG =, 221.89644664 , kcal/mol
C00006 C00345  = 11 , Reaction type 0, deltaG =, 203.78512752 , kcal/mol
C00006 C00118  = 12 , Reaction type 0, deltaG =, 10.93681531 , kcal/mol
C01236 C01236  = 13 , Reaction type 0, deltaG =, 9.28238519 , kcal/mol
C00005 C01236  = 14 , Reaction type 0, deltaG =, 14.71992250 , kcal/mol
C01236 C00345  = 15 , Reaction type 0, deltaG =, -11.22637352 , kcal/mol
C00345 C01236  = 16 , Reaction type 0, deltaG =, 3.99357404 , kcal/mol
C04442 C01236  = 17 , Reaction type 0, deltaG =, -3.64921537 , kcal/mol
C04442 C01236  = 18 , Reaction type 0, deltaG =, -12.49152781 , kcal/mol
C01236 C00118  = 19 , Reaction type 0, deltaG =, 2.23610050 , kcal/mol
C00118 C01236  = 20 , Reaction type 0, deltaG =, -7.70096587 , kcal/mol
C00022 C01236  = 21 , Reaction type 0, deltaG =, -14.40968155 , kcal/mol
C00022 C01236  = 22 , Reaction type 0, deltaG =, -.33433105 , kcal/mol
C00005 C00345  = 23 , Reaction type 0, deltaG =, 20.66868592 , kcal/mol
C00005 C00118  = 24 , Reaction type 0, deltaG =, 14.33276765 , kcal/mol
C00345 C00345  = 25 , Reaction type 0, deltaG =, 1.89625364 , kcal/mol
C04442 C00345  = 26 , Reaction type 0, deltaG =, 6.98301913 , kcal/mol
C04442 C00345  = 27 , Reaction type 0, deltaG =, -5.66617684 , kcal/mol
C00345 C00118  = 28 , Reaction type 0, deltaG =, 11.84945330 , kcal/mol
C00118 C00345  = 29 , Reaction type 0, deltaG =, -7.95444226 , kcal/mol
C00022 C00345  = 30 , Reaction type 0, deltaG =, -6.92429674 , kcal/mol
C00022 C00345  = 31 , Reaction type 0, deltaG =, 3.65825152 , kcal/mol
C04442 C00118  = 32 , Reaction type 0, deltaG =, 7.20721590 , kcal/mol
C04442 C00118  = 33 , Reaction type 0, deltaG =, -4.27280344 , kcal/mol
C00118 C00118  = 34 , Reaction type 0, deltaG =, 5.71420646 , kcal/mol
C00022 C00118  = 35 , Reaction type 0, deltaG =, -2.16152722 , kcal/mol
C00022 C00118  = 36 , Reaction type 0, deltaG =, 3.93308835 , kcal/mol
